# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	269784
#@/user_id	a7db7ad9-a2db-4db2-a47e-500434d77068
a 	啊	c=2024 d=2.69461 t=269624
tiao dao 	跳到	c=3 d=1.99005 t=204526
tiao dong 	跳动	c=4 d=1 t=212802
tiao gao 	调高	c=1 d=1 t=233493
tiao guan 	跳关	c=3 d=1.27117 t=181944
tiao guo 	调过	c=1 d=1 t=76156
tiao guo 	跳过	c=47 d=2.57865 t=269230
tiao guo qu 	跳过去	c=1 d=1 t=7516
tiao hao 	调好	c=1 d=1 t=49725
tiao jian 	条件	c=18 d=1 t=238009
tiao kan 	调侃	c=3 d=1.00121 t=4243
tiao kuai 	调快	c=1 d=1 t=98821
tiao li 	调理	c=4 d=1.00352 t=216834
tiao liao 	调料	c=2 d=1 t=267152
tiao pei 	调配	c=1 d=1 t=191710
tiao san 	跳伞	c=1 d=1 t=250305
tiao sheng 	跳绳	c=4 d=1 t=232575
tiao shi 	调试	c=63 d=1.00011 t=268967
tiao shu ju 	调数据	c=1 d=1 t=221225
tiao shui 	跳水	c=1 d=1 t=19563
tiao tou 	挑头	c=1 d=1 t=194601
tiao wei zi 	调位子	c=1 d=1 t=17007
tiao wu 	跳舞	c=5 d=1 t=226420
tiao xia 	调下	c=8 d=1 t=262832
tiao xin 	挑衅	c=1 d=1 t=245556
tiao xin 	调薪	c=1 d=1 t=6408
tiao xiu 	调休	c=2 d=1.96079 t=219805
tiao you tiao bu guo 	条又跳不过	c=1 d=1 t=68392
tiao zao 	跳蚤	c=1 d=1 t=48384
tiao zhen 	跳帧	c=1 d=1 t=96664
tiao zheng 	调整	c=34 d=1 t=268910
tiao zheng xia 	调整下	c=1 d=1 t=237080
tiao zhuan 	跳转	c=5 d=1.98511 t=257231
tie 	贴	c=20 d=1.00001 t=269353
tie 	铁	c=2 d=1 t=134338
tie ba 	贴吧	c=1 d=1 t=53955
tie bie 	贴别	c=4 d=1 t=231379
tie bie shi 	铁别是	c=1 d=1 t=9893
tie chu 	贴出	c=1 d=1 t=9841
tie chu lai 	贴出来	c=1 d=1 t=28337
tie ding 	铁定	c=1 d=1 t=1373
tie gui shang 	铁轨上	c=1 d=1 t=69594
tie tiao 	贴条	c=2 d=1.00003 t=59406
tie tu 	贴图	c=1 d=1 t=23310
tie xia 	贴下	c=2 d=1 t=268397
tie xiao 	贴小	c=1 d=1 t=145830
tie zhi 	贴纸	c=1 d=1 t=58885
ting 	停	c=11 d=1.99501 t=242580
ting 	厅	c=1 d=1 t=242360
ting 	听	c=38 d=1 t=264804
ting 	庭	c=1 d=1 t=49010
ting 	挺	c=5 d=1 t=262970
ting bai 	停摆	c=3 d=1 t=199257
ting bu cuo 	挺不错	c=1 d=1 t=90509
ting bu dong 	听不懂	c=1 d=1 t=124858
ting chu lai 	听出来	c=1 d=1 t=97514
ting cong 	听从	c=1 d=1 t=1240
ting da 	挺大	c=3 d=1 t=176857
ting dai 	停贷	c=5 d=3.70589 t=191235
ting dao 	停到	c=1 d=1 t=3418
ting dao 	听到	c=17 d=1 t=268717
ting dao yi 	听到一	c=1 d=1 t=252571
ting de 	听得	c=3 d=1 t=134893
ting de dong 	听得懂	c=1 d=1 t=3938
ting dian 	停电	c=4 d=1 t=248240
ting dong 	听懂	c=2 d=1 t=234607
ting duo 	挺多	c=4 d=1 t=172853
ting gan 	挺杆	c=1 d=1 t=103705
ting ge 	听歌	c=1 d=1 t=230259
ting gong 	停工	c=1 d=1 t=106672
ting guang 	挺广	c=1 d=1 t=96055
ting guo 	停过	c=2 d=1 t=215297
ting hao 	挺好	c=19 d=1 t=261684
ting hao chi 	挺好吃	c=1 d=1 t=107256
ting hao de 	挺好的	c=1 d=1 t=16437
ting hao kan 	挺好看	c=3 d=1 t=246736
ting hua 	听话	c=11 d=1 t=264782
ting ji 	停机	c=1 d=1 t=216300
ting jin 	挺近	c=1 d=1 t=198739
ting kao 	停靠	c=1 d=1 t=32234
ting kuai 	挺快	c=1 d=1 t=10060
ting lun 	停轮	c=11 d=1 t=235482
ting mang 	挺忙	c=1 d=1 t=161
ting nong 	听弄	c=3 d=1.00261 t=64049
ting qiang 	挺强	c=1 d=1 t=124853
ting shuo 	听说	c=26 d=1 t=236002
ting ting 	停停	c=2 d=1.32956 t=29462
ting ting 	听听	c=2 d=1 t=198165
ting ting 	婷婷	c=1 d=1 t=197781
ting ting ge 	听听歌	c=1 d=1 t=211667
ting wo 	听我	c=1 d=1 t=105408
ting xia 	停下	c=1 d=1 t=29677
ting xia lai 	停下来	c=2 d=1 t=78358
ting yong 	停用	c=1 d=1 t=163001
ting zhe 	听着	c=7 d=1 t=269235
ting zhi 	停止	c=16 d=1 t=257449
ting zui 	听最	c=1 d=1 t=234311
tong 	同	c=34 d=1 t=255106
tong 	痛	c=4 d=1.41066 t=233184
tong 	通	c=14 d=1 t=188975
tong bu 	同步	c=52 d=1 t=269784
tong bu dao 	同步到	c=1 d=1 t=244000
tong bu tong 	痛不痛	c=3 d=1 t=199228
tong bu xia 	同步下	c=9 d=1 t=242670
tong chang 	通常	c=10 d=1 t=210867
tong chang 	通畅	c=1 d=1 t=65847
tong cheng 	同城	c=1 d=1 t=83959
tong dao 	通道	c=1 d=1 t=199414
tong de 	痛的	c=3 d=1 t=213424
tong feng 	通风	c=3 d=1 t=232287
tong guan 	通关	c=1 d=1 t=77290
tong guo 	通过	c=22 d=2.90268 t=199402
tong ji 	统计	c=85 d=1.34734 t=268552
tong ji chu 	统计出	c=1 d=1 t=131332
tong ji ren 	统计人	c=2 d=1 t=131414
tong ji ren shu 	统计人数	c=1 d=1 t=127239
tong ji xia 	统计下	c=3 d=1 t=267684
tong jia 	铜价	c=1 d=1 t=267682
tong kao 	统考	c=2 d=1.94176 t=31017
tong ku 	痛苦	c=2 d=1 t=8048
tong li 	同理	c=1 d=1 t=254676
tong ming 	同名	c=1 d=1 t=177770
tong piao 	通票	c=1 d=1 t=29359
tong qi 	通气	c=1 d=1 t=252194
tong qi lai 	痛起来	c=1 d=1 t=36085
tong qiao 	通窍	c=0 d=0.1 t=90117
tong qiao bi yan 	通窍鼻炎	c=1 d=1 t=90118
tong qing 	同情	c=1 d=1 t=93749
tong shi 	同事	c=24 d=1 t=245687
tong shi 	同时	c=59 d=1.00135 t=269051
tong shi chu fa 	同时触发	c=2 d=1.00291 t=137069
tong shi gun 	同时滚	c=1 d=1 t=179900
tong shi lu 	同事录	c=1 d=1 t=17860
tong shun 	通顺	c=1 d=1 t=23351
tong ta 	同他	c=3 d=1 t=147317
tong tian 	通天	c=2 d=1.001 t=47649
tong xiao 	通宵	c=2 d=1 t=134999
tong xin 	通信	c=4 d=1 t=235422
tong xue 	同学	c=7 d=1 t=227690
tong xue lu 	同学录	c=1 d=1 t=17858
tong xun 	通讯	c=1 d=1 t=53956
tong yang 	同样	c=8 d=1 t=252823
tong yi 	同一	c=1 d=1 t=197801
tong yi 	同意	c=1 d=1 t=24439
tong yi 	统一	c=22 d=1 t=262608
tong yi ge 	同一个	c=4 d=1 t=208437
tong yi lou 	同一楼	c=1 d=1 t=101302
tong yi shi jian 	同一时间	c=4 d=1 t=237441
tong yi shi ke 	同一时刻	c=1 d=1 t=197826
tong yi xia 	统一下	c=2 d=1 t=142642
tong yong 	通用	c=37 d=1 t=251845
tong yong de 	通用的	c=1 d=1 t=117447
tong yong xing 	通用性	c=2 d=1 t=194946
tong zhi 	通知	c=30 d=1 t=256660
tong zhuo 	同桌	c=2 d=1 t=245775
tou 	头	c=39 d=1 t=258766
tou 	投	c=4 d=1 t=122946
tou bao 	投保	c=1 d=1 t=197014
tou bu 	头部	c=3 d=2.87697 t=47783
tou da 	头大	c=16 d=1.09537 t=211415
tou fa 	头发	c=14 d=1.81873 t=245019
tou hun 	头昏	c=2 d=1 t=199308
tou hun hun 	头昏昏	c=1 d=1 t=33641
tou ji qu qiao 	投机取巧	c=1 d=1 t=229508
tou jian shua hua 	偷奸耍滑	c=2 d=1 t=202446
tou ming 	透明	c=3 d=1 t=242940
tou ming du 	透明度	c=4 d=1 t=258109
tou pai 	偷拍	c=2 d=1 t=229105
tou pi 	头皮	c=4 d=1 t=208337
tou pi fa ma 	头皮发麻	c=1 d=1 t=54042
tou piao 	投票	c=2 d=1 t=250459
tou ru 	投入	c=1 d=1 t=182603
tou sha 	头纱	c=1 d=1 t=183496
tou shang 	头上	c=1 d=1 t=232789
tou shi 	透视	c=4 d=3.81235 t=243172
tou su 	投诉	c=3 d=1 t=191253
tou tai 	投胎	c=1 d=1 t=119567
tou teng 	头疼	c=1 d=1 t=212409
tou tian 	头天	c=3 d=1 t=100526
tou tong 	头痛	c=70 d=1.00019 t=256112
tou tou 	偷偷	c=8 d=1 t=264807
tou tou 	头头	c=1 d=1 t=93161
tou xi 	偷袭	c=1 d=1 t=250276
tou xi 	透析	c=1 d=1 t=250277
tou xiang 	头像	c=6 d=1 t=245285
tou xiao 	偷笑	c=1 d=1 t=88146
tou xu 	头绪	c=1 d=1 t=103091
tou ying yi 	投影仪	c=1 d=1 t=211080
tou yun 	头晕	c=3 d=1 t=162105
tou zhi 	透支	c=2 d=1 t=76981
tou zi 	投资	c=1 d=1 t=10247
tou zui 	偷嘴	c=3 d=1.96079 t=147081
tu 	兔	c=1 d=1 t=110619
tu 	吐	c=7 d=2.32658 t=85096
tu 	图	c=88 d=1.28083 t=268787
tu 	土	c=1 d=1 t=92473
tu 	涂	c=6 d=1 t=100569
tu bian 	突变	c=2 d=1.99501 t=186914
tu biao 	图标	c=12 d=1 t=200309
tu biao 	图表	c=1 d=1 t=232648
tu bu 	徒步	c=3 d=2.81956 t=60474
tu cao 	吐槽	c=7 d=1 t=266175
tu chu 	突出	c=1 d=1 t=89903
tu dao 	涂到	c=1 d=1 t=96922
tu di 	土地	c=1 d=1 t=168608
tu di shi yong quan 	土地使用权	c=1 d=1 t=143451
tu di zheng 	土地证	c=6 d=5.33019 t=168404
tu dian 	涂点	c=2 d=1 t=96943
tu dou 	土豆	c=5 d=1 t=151103
tu fa 	突发	c=2 d=1 t=256655
tu hao 	土豪	c=10 d=1.88998 t=264611
tu ji 	图集	c=9 d=1.00001 t=259953
tu ji ban 	突击班	c=1 d=1 t=46672
tu jing 	途径	c=1 d=1 t=182079
tu li 	图里	c=1 d=1 t=160470
tu lu 	土路	c=1 d=1 t=1580
tu pi 	兔皮	c=1 d=0.1 t=21169
tu pi a 	兔皮啊	c=1 d=1 t=21170
tu pian 	图片	c=71 d=1 t=265290
tu pian ma 	图片吗	c=1 d=1 t=165263
tu pian ming 	图片名	c=1 d=1 t=261183
tu pian wang 	图片网	c=1 d=1 t=4935
tu po 	突破	c=4 d=1.96561 t=190724
tu ran 	突然	c=25 d=1 t=260517
tu shang 	图上	c=1 d=1 t=248189
tu shu 	图书	c=0 d=0.1 t=110529
tu si 	吐司	c=3 d=2.96042 t=82720
tu tu 	兔兔	c=3 d=2.86112 t=129202
tu xian 	凸显	c=1 d=1 t=2365
tu xing xue 	图形学	c=1 d=1 t=27058
tu xue 	吐血	c=3 d=1 t=160928
tu yi 	图一	c=0 d=0.1 t=196681
tu yi ge 	图一个	c=1 d=1 t=196682
tu zi 	兔子	c=8 d=1 t=260306
tu zi dong 	兔子洞	c=10 d=1 t=263407
tu zi rou 	兔子肉	c=1 d=1 t=10065
tuan 	团	c=7 d=1.91851 t=226875
tuan dui 	团队	c=31 d=1 t=264196
tuan fei 	团费	c=2 d=1 t=109685
tuan jian 	团建	c=72 d=1.09138 t=267206
tuan jian fei 	团建费	c=5 d=1 t=243426
tuan jie 	团结	c=1 d=1 t=228356
tuan tuan 	团团	c=1 d=1 t=217149
tui 	忒	c=2 d=1 t=117923
tui 	推	c=7 d=1 t=227934
tui 	腿	c=10 d=1 t=215664
tui 	退	c=32 d=3.84448 t=255650
tui ba 	退吧	c=1 d=1 t=68797
tui bai 	颓败	c=1 d=1 t=91336
tui bi ji 	推币机	c=3 d=1 t=180414
tui bu 	腿部	c=1 d=1 t=179762
tui ce 	推测	c=1 d=1 t=39929
tui chi 	推迟	c=1 d=1 t=217109
tui chu 	推出	c=8 d=1 t=148603
tui chu 	退出	c=18 d=1 t=260599
tui diao 	推掉	c=1 d=1 t=140819
tui diao 	退掉	c=1 d=1 t=140820
tui fang 	退房	c=2 d=1 t=234185
tui gei 	推给	c=2 d=1 t=149380
tui guang 	推广	c=1 d=1 t=40715
tui huo 	退货	c=4 d=1 t=141118
tui jian 	推荐	c=19 d=1 t=252404
tui jian ge 	推荐个	c=1 d=1 t=79105
tui jian ren 	推荐人	c=1 d=1 t=143658
tui jin 	推进	c=14 d=1 t=252859
tui kuan 	退款	c=3 d=1 t=191588
tui piao 	退票	c=1 d=1 t=38855
tui qian 	退钱	c=2 d=1 t=61825
tui qu 	褪去	c=1 d=1 t=3478
tui shui 	退税	c=3 d=2.57658 t=46937
tui teng 	腿疼	c=1 d=1 t=79436
tui tuo 	推脱	c=2 d=1 t=217110
tui xing 	推行	c=1 d=1 t=187137
tui xiu 	退休	c=6 d=1.97045 t=222801
tui yan 	推演	c=0 d=0.1 t=148089
tui yan hui 	推演会	c=1 d=1 t=148090
tui zu 	退租	c=3 d=1.40249 t=235123
tun bu 	臀部	c=1 d=1 t=89921
tun bu xia 	吞不下	c=1 d=1 t=11830
tuo 	坨	c=1 d=1 t=177163
tuo 	妥	c=2 d=1.86071 t=73214
tuo 	拖	c=9 d=1 t=250646
tuo 	脱	c=3 d=1 t=260651
tuo chan 	脱产	c=2 d=1.98511 t=17373
tuo dong 	拖动	c=3 d=1 t=110439
tuo jiang 	脱缰	c=1 d=1 t=2352
tuo jie zou 	拖节奏	c=1 d=1 t=25929
tuo kou er chu 	脱口而出	c=1 d=1 t=382
tuo li 	脱离	c=2 d=1 t=132956
tuo ru 	拖入	c=1 d=1 t=103861
tuo shi jian 	拖时间	c=1 d=1 t=74872
tuo wei 	脱位	c=4 d=1.673 t=221075
tuo xie 	妥协	c=1 d=1 t=846
tuo yi fu 	脱衣服	c=1 d=1 t=44392
tuo zhe 	拖着	c=2 d=1 t=220704
tuo zhuai 	拖拽	c=17 d=1.47881 t=254320
wa 	哇	c=51 d=1 t=253645
wa 	娃	c=5 d=1 t=191582
wa 	挖	c=5 d=1 t=207004
wa da keng 	挖大坑	c=1 d=1 t=40064
wa de keng 	挖的坑	c=1 d=1 t=13581
wa er deng hu 	瓦尔登湖	c=1 d=1 t=27156
wa gong 	瓦工	c=0 d=0.1 t=199377
wa gong luo 	瓦工落	c=1 d=1 t=199378
wa ha ha 	娃哈哈	c=1 d=1 t=162668
wa keng 	挖坑	c=2 d=1.99501 t=17201
wa ren 	挖人	c=1 d=1 t=131901
wa sai 	哇噻	c=1 d=1 t=148766
wa wa 	哇哇	c=1 d=1 t=109586
wa wa 	娃娃	c=20 d=1.05901 t=265774
wa zi 	袜子	c=7 d=1 t=254492
wa zou 	挖走	c=1 d=1 t=228586
wai 	外	c=13 d=1 t=258216
wai 	歪	c=1 d=1 t=76954
wai bao 	外包	c=1 d=1 t=109386
wai biao 	外表	c=1 d=1 t=195274
wai bu 	外部	c=8 d=1 t=194089
wai ce 	外侧	c=1 d=1 t=89905
wai ceng 	外层	c=2 d=1.21654 t=173261
wai di ren 	外地人	c=1 d=1 t=195680
wai guan 	外观	c=2 d=1 t=266397
wai jia 	外加	c=5 d=1 t=16794
wai jie 	外接	c=3 d=1 t=192884
wai jie 	外界	c=2 d=1.94649 t=192896
wai jie ren 	外界人	c=1 d=1 t=256057
wai kuai 	外快	c=1 d=1 t=83661
wai mai 	外卖	c=8 d=1 t=216910
wai mao 	外貌	c=1 d=1 t=57722
wai mian 	外面	c=87 d=1 t=268496
wai mian chi 	外面吃	c=1 d=1 t=143394
wai mian mai 	外面买	c=1 d=1 t=193946
wai po 	外婆	c=21 d=1.01616 t=256770
wai po mei 	外婆没	c=1 d=1 t=114303
wai po qiao 	外婆桥	c=1 d=1 t=165164
wai tao 	外套	c=6 d=1 t=260652
wai wang 	外网	c=2 d=1 t=159904
wai zai 	外在	c=1 d=1 t=85753
wan 	万	c=11 d=2.9362 t=172834
wan 	完	c=193 d=2.21267 t=268922
wan 	晚	c=13 d=1.00002 t=268555
wan 	玩	c=81 d=1.0754 t=263425
wan 	碗	c=10 d=1 t=266580
wan 	顽	c=0 d=0.1 t=22124
wan an 	晚安	c=2 d=1 t=38029
wan ba 	玩吧	c=2 d=1 t=81198
wan ban 	晚班	c=4 d=1 t=251495
wan bu hao 	玩不好	c=0 d=0.1 t=44609
wan bu hao wan 	玩不好玩	c=1 d=1 t=44610
wan bu lai 	玩不来	c=2 d=1 t=160541
wan bu qi 	玩不起	c=1 d=1 t=80465
wan cheng 	完成	c=126 d=1.00003 t=269383
wan cheng du 	完成度	c=4 d=1.73712 t=151076
wan cheng hao 	完成好	c=1 d=1 t=87176
wan chun 	万春	c=0 d=0.1 t=28064
wan chun yuan 	万春园	c=1 d=1 t=28065
wan dan 	完蛋	c=3 d=1 t=176928
wan dao 	晚到	c=1 d=1 t=83198
wan de 	玩得	c=5 d=1 t=176988
wan dian 	晚点	c=19 d=1.98511 t=267058
wan dian shui 	晚点睡	c=1 d=1 t=31063
wan dou jian 	豌豆尖	c=3 d=1.01015 t=54586
wan du zi 	完犊子	c=1 d=1 t=220697
wan e 	万恶	c=3 d=1 t=98998
wan er 	玩儿	c=53 d=1 t=262912
wan er lan 	玩儿烂	c=0 d=0.1 t=120184
wan er lan jiang 	玩儿烂将	c=1 d=1 t=120185
wan fa 	玩法	c=512 d=1.00136 t=269621
wan fan 	晚饭	c=8 d=1.98511 t=234672
wan gua 	完挂	c=1 d=1 t=122947
wan guo 	玩过	c=2 d=1 t=196422
wan hua 	万花	c=1 d=1 t=2662
wan hui 	挽回	c=1 d=1 t=111484
wan jia 	玩家	c=54 d=3.82846 t=257168
wan ju 	玩具	c=4 d=1 t=39033
wan ju gong chang 	玩具工厂	c=1 d=1 t=39048
wan ke 	万科	c=23 d=1.99005 t=246613
wan kuai 	万块	c=1 d=1 t=83660
wan kuai 	碗筷	c=1 d=1 t=126750
wan lai 	晚来	c=3 d=2.21593 t=746
wan le 	玩了	c=3 d=1 t=251549
wan li 	碗里	c=1 d=1 t=253077
wan liang 	万辆	c=1 d=1 t=112251
wan ma 	玩吗	c=1 d=1 t=111104
wan mei 	完美	c=26 d=2.9909 t=223169
wan mei yue hui 	完美约会	c=4 d=1 t=224271
wan mei zhu yi 	完美主义	c=1 d=1 t=77445
wan neng 	万能	c=1 d=1 t=261874
wan qu 	玩去	c=1 d=1 t=235927
wan quan 	完全	c=64 d=1.92779 t=266682
wan quan ou 	万全区	c=2 d=1 t=218009
wan quan zhi ce 	万全之策	c=1 d=1 t=102972
wan ren 	万人	c=1 d=1 t=58091
wan ru 	宛如	c=4 d=1.99005 t=29481
wan sha 	玩啥	c=1 d=1 t=16861
wan shang 	晚上	c=308 d=1.76352 t=266613
wan shang chi 	晚上吃	c=1 d=1 t=107991
wan shang hao 	晚上好	c=1 d=1 t=131717
wan shang hui lai 	晚上回来	c=0 d=0.1 t=91361
wan sheng jie 	万圣节	c=16 d=1 t=254500
wan shi 	完事	c=2 d=1 t=49639
wan shi ju bei 	万事俱备	c=2 d=1 t=194079
wan wan 	玩玩	c=7 d=1 t=166040
wan xiao 	玩笑	c=7 d=1.56553 t=65708
wan xing 	玩性	c=1 d=1 t=10890
wan yi 	万一	c=24 d=1 t=265776
wan yi 	玩意	c=1 d=1 t=220929
wan yi bian 	玩一遍	c=1 d=1 t=39472
wan yi er 	玩意儿	c=2 d=1 t=84060
wan yi hui 	晚一会	c=1 d=1 t=96695
wan yi hui 	玩一会	c=1 d=1 t=96696
wan you ke ji 	顽游科技	c=1 d=1 t=22125
wan you xi 	玩游戏	c=3 d=1 t=193410
wan zhe 	玩着	c=1 d=1 t=54249
wan zheng 	完整	c=7 d=1 t=262252
wan zhuan 	玩转	c=1 d=1 t=264167
wang 	往	c=47 d=1 t=262218
wang 	望	c=0 d=0.1 t=3195
wang 	王	c=2 d=1 t=191249
wang 	网	c=35 d=1 t=267407
wang ba 	网吧	c=1 d=1 t=16246
wang chu ran 	王楚然	c=1 d=1 t=217257
wang duan 	网段	c=1 d=1 t=136475
wang er de 	王尔德	c=1 d=1 t=40851
wang fei 	王菲	c=1 d=1 t=186731
wang guo 	王国	c=1 d=1 t=194686
wang hong 	网红	c=1 d=1 t=143015
wang hong tui jian 	网红推荐	c=1 d=1 t=28207
wang hou 	往后	c=3 d=0.1 t=210355
wang hou jiang xiang ning you zhong hu 	王侯将相宁有种乎	c=1 d=1 t=119566
wang hou luo 	往后落	c=1 d=1 t=210356
wang ji 	忘记	c=136 d=2.93131 t=268810
wang ka 	网卡	c=1 d=1 t=235765
wang kuang 	王匡	c=1 d=1 t=83659
wang luo 	网络	c=26 d=1.88692 t=230148
wang pan 	网盘	c=2 d=1 t=255459
wang qian mian 	往前面	c=1 d=1 t=29258
wang shang 	往上	c=3 d=1 t=166933
wang shang 	网上	c=15 d=1.48464 t=247215
wang shang shuo 	网上说	c=1 d=1 t=29602
wang sheng 	旺盛	c=1 d=1 t=92284
wang tu 	网图	c=1 d=1 t=9402
wang wang da li bao 	旺旺大礼包	c=1 d=1 t=34108
wang xiao xue 	王晓雪	c=3 d=1 t=128030
wang xu 	王旭	c=1 d=1 t=45502
wang ye 	网页	c=2 d=1 t=266877
wang yi 	网易	c=10 d=1 t=265775
wang yi yun 	网易云	c=1 d=1 t=48386
wang zhan 	网站	c=11 d=1 t=251117
wang zhe 	王者	c=1 d=1 t=16902
wang zhi 	网址	c=1 d=1 t=232467
wei 	为	c=171 d=1.00013 t=268937
wei 	位	c=46 d=1 t=267750
wei 	偎	c=1 d=1 t=40106
wei 	卫	c=2 d=1 t=49004
wei 	喂	c=2 d=1 t=182971
wei 	未	c=44 d=1.08543 t=248197
wei 	胃	c=17 d=1 t=251454
wei a ha 	未啊哈	c=2 d=1 t=160742
wei a sha 	为啊啥	c=1 d=1 t=72927
wei ba 	尾巴	c=1 d=1 t=15709
wei bi li you 	威逼利诱	c=0 d=0.1 t=28299
wei bi li you xia 	威逼利诱下	c=1 d=1 t=28300
wei bi ye 	未毕业	c=1 d=1 t=31819
wei bo lu 	微波炉	c=1 d=1 t=61700
wei bu 	尾部	c=1 d=1 t=84295
wei bu bao 	喂不饱	c=1 d=1 t=257853
wei bu shu fu 	胃不舒服	c=1 d=1 t=121988
wei ceng 	未曾	c=1 d=1 t=2251
wei cheng 	围城	c=1 d=1 t=1366
wei cheng nian 	未成年	c=1 d=1 t=61716
wei chi 	维持	c=1 d=1 t=156893
wei chu xian 	未出现	c=1 d=1 t=193091
wei dao 	味道	c=17 d=0.1 t=229178
wei ding 	未定	c=1 d=1 t=190354
wei du 	唯独	c=1 d=1 t=29758
wei du 	维度	c=2 d=1 t=110252
wei duo li ya 	维多利亚	c=1 d=1 t=55084
wei er 	味儿	c=1 d=1 t=202682
wei fa 	违法	c=5 d=1 t=229448
wei feng 	微风	c=1 d=1 t=29472
wei ge 	伟哥	c=85 d=1 t=259018
wei guo he 	魏国和	c=1 d=1 t=1795
wei hao 	尾号	c=2 d=1.60957 t=59695
wei he 	为何	c=1 d=1 t=42
wei hu 	维护	c=12 d=1.99005 t=227848
wei ji huo 	未激活	c=2 d=1.96079 t=59245
wei jian 	未见	c=1 d=1 t=5966
wei jie 	伟杰	c=5 d=1 t=180927
wei jin 	围巾	c=1 d=1 t=242179
wei jing 	维京	c=2 d=1 t=242178
wei jing li 	未经历	c=1 d=1 t=250840
wei kou 	胃口	c=2 d=1.82283 t=212254
wei lai 	未来	c=18 d=1 t=236043
wei lai cheng 	未来城	c=4 d=1 t=190581
wei le 	为了	c=2 d=1 t=19136
wei mei 	唯美	c=2 d=1 t=29672
wei mi bu zhen 	萎靡不振	c=1 d=1 t=171890
wei mian 	位面	c=1 d=1 t=34992
wei nan qing xu 	畏难情绪	c=1 d=1 t=134733
wei nan shou 	胃难受	c=1 d=1 t=41468
wei neng 	未能	c=3 d=1.99501 t=156385
wei qu 	委屈	c=8 d=1 t=268492
wei qu ba ba 	委屈巴巴	c=2 d=1 t=128403
wei quan 	维权	c=18 d=1.94176 t=252035
wei quan qun 	维权群	c=1 d=1 t=220456
wei rao 	围绕	c=1 d=1 t=22264
wei ren 	为人	c=2 d=1 t=257020
wei sha 	为啥	c=382 d=1.01495 t=268857
wei shen me 	为什么	c=13 d=1 t=176129
wei sheng 	为生	c=1 d=1 t=191593
wei sheng 	卫生	c=8 d=1 t=214615
wei sheng jian 	卫生间	c=2 d=1.82696 t=49047
wei sheng su 	维生素	c=16 d=1.10769 t=229865
wei sheng zhi 	卫生纸	c=1 d=1 t=7242
wei shu 	为数	c=3 d=1 t=71637
wei shu 	位数	c=14 d=1 t=221470
wei shu bu dui 	卫戍部队	c=1 d=1 t=60554
wei suan 	胃酸	c=1 d=1 t=111955
wei suo 	猥琐	c=1 d=1 t=87077
wei suo xing 	萎缩性	c=1 d=1 t=178876
wei tiao 	微调	c=1 d=1 t=69586
wei tong 	胃痛	c=2 d=1.30422 t=213314
wei tong guo 	未通过	c=2 d=1.97045 t=46905
wei tou tiao 	微头条	c=6 d=1 t=23348
wei tu zi 	喂兔子	c=1 d=1 t=84181
wei wan 	委婉	c=1 d=1 t=8248
wei wei 	喂喂	c=1 d=1 t=31975
wei wo 	喂我	c=2 d=1 t=108669
wei wo chi 	喂我吃	c=2 d=1.94176 t=215590
wei wu 	威武	c=1 d=1 t=199301
wei xian 	危险	c=12 d=1 t=230952
wei xian bian yuan 	危险边缘	c=3 d=1 t=252494
wei xiang ying 	未响应	c=2 d=1.94176 t=196264
wei xiao 	微笑	c=2 d=1 t=225844
wei xie 	威胁	c=2 d=1 t=185801
wei xin 	微信	c=35 d=1.22425 t=245699
wei xing 	微星	c=1 d=1 t=264007
wei xiu 	维修	c=0 d=0.1 t=188835
wei xiu fei 	维修费	c=1 d=1 t=265012
wei xiu ji jin 	维修基金	c=1 d=1 t=163221
wei xiu qi lai 	维修起来	c=1 d=1 t=188836
wei xun 	微醺	c=3 d=1.2122 t=2516
wei yi 	位移	c=3 d=1 t=192610
wei yi 	唯一	c=13 d=1.99005 t=266672
wei you 	唯有	c=2 d=1 t=27900
wei yu 	位于	c=1 d=1 t=260221
wei zheng 	魏征	c=37 d=1.00475 t=267289
wei zhi 	为止	c=1 d=1 t=172984
wei zhi 	位置	c=169 d=1.00758 t=263461
wei zhi 	未知	c=7 d=1 t=263462
wei zhi shu 	未知数	c=1 d=1 t=131508
wei zhuang 	伪装	c=1 d=1 t=257654
wen 	吻	c=1 d=1 t=97984
wen 	稳	c=10 d=1.92312 t=236485
wen 	问	c=252 d=1.62189 t=269757
wen 	雯	c=1 d=1 t=33593
wen an 	文案	c=16 d=1.96079 t=243042
wen ben 	文本	c=4 d=1 t=254674
wen bi 	文笔	c=1 d=1 t=199
wen dang 	文档	c=131 d=1 t=254246
wen dang zhong 	文档中	c=1 d=1 t=9561
wen dao 	问道	c=4 d=1 t=200455
wen ding 	稳定	c=41 d=1 t=264179
wen ding xing 	稳定性	c=3 d=1.9523 t=157928
wen du 	温度	c=3 d=1.00014 t=201448
wen ge 	文革	c=1 d=1 t=105080
wen ge 	问个	c=3 d=1 t=189850
wen gui o 	问贵哦	c=1 d=1 t=168942
wen guo 	问过	c=6 d=1 t=88365
wen ha 	问哈	c=7 d=1 t=209658
wen hao 	问号	c=2 d=1 t=198818
wen he 	温和	c=2 d=1.82283 t=107952
wen hou 	问候	c=1 d=1 t=10901
wen hua 	文化	c=1 d=1 t=132509
wen ji 	文集	c=1 d=1 t=261091
